"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"lego12","2008-07-24T17:51:44.327Z","Watch out for the V-19 Torrent!","   This set is amazing! I think the set is a bit expensive,$55, but it is worth the price! It comes with a Clone pilot minifigure which is awesome!  It should have came with two pilots, but thats asking too much. The wings, which are the best part, are sweet! The function is cool! You push back the top wing and it is ready to take off! The cockpit is the same as the one with the General Grevious Starfighter. This set is superb and deserves a five, even thought the price is a bit steep....but anyway I give it a five and I reccomend you go and buy it! One of the best Clone Wars sets! :D  I give it a 5/5 or a 10/10! Thanks for taking the time to read this review and I hope you enjoyed it! :D

  Lego12",FALSE,5,0,0,0,0
"arctrooper170","2008-08-01T14:40:43.483Z","The V-19 scores a 5","This is my second clone wars set, ( first was the republic attack gunship) and I have to say this one was quite impressive and complicated to build. The wings and landing gear moving at the same time is incredible, the way they got the cockpit to open was ingenious, and I personally dont think that 55.00 was much. (come you whimps, all of us knew how much they were going to cost) I cant wait to see it in action in the movie. Now the pros and cons:

PROS
1. huge
2. ingenious design
3. folds up nicely
4. amazing detail
5. awsome minifig
6. hard to build
7. and looks good with all other new republic sets ( rep. gunship, AT-TE, and rep. fighter tank)



CONS
1. stickers


DON'T GET IF YOUR BAD AT BUILDING TECHNIC SETS ( ENGINES AND LANDING ARE ALL TECHNIC)",FALSE,5,0,0,0,0
"dragon_teenager","2008-08-12T19:26:40.86Z","Not flawless, but impressive","PROS:

- The fighter has an extremely impressive wingspan. I have not measured it, but it appears to be significantly over a foot long. 

- The hydraulic mechanism is both clever and functional, and it's certainly the most impressive part of this set. It works fluidly and consistently. 

- The ship feels extremely solid. I don't think it would survive a four foot drop, because of the wings, but the main body of the ship is very study. 

- Good detail. The engines, body, and wings all look great. This would be a good display model if it wasn't for the fact that it needs to be folded up in order to sit on a shelf. 

- Useful parts.

- Not too many stickers. 

- Excellent swooshability. 

CONS:

- Frustrating build. I don't mind technic, but there's no denying that this model takes way longer to build than it should. It took me about two hours, mostly because I goofed up on one of the engines and had to rebuild it. Once the technic part is done, however, it's pretty easy and very satisfying. 

- The bottom/top wing is not locked into place in flight mode. I learned to carry it by the top of the bottom wing in order to keep it from swinging. 

- There's a huge gap in the cockpit and I see no reason why the designers couldn't have fixed it. 

- $54.99 is a steep price.


VERDICT: 

This set is satisfying to play with once completed, and probably the best non-exclusive CW set. Unfortunately a few minor design flaws and a frustrating build keep it from becoming a legend. ",FALSE,4,0,0,0,0
"Cashcleaner","2008-08-10T01:34:28.013Z","Kinda disappointing...","I'm not a huge Star Wars fan by any stretch, but I do love the Clone Wars storyline of the series and the V-19 is possibly my most favourite vehicle featured in the animated series and upcoming movie.  Obviously, as soon as I saw the ship in the 2008 catalogue I knew I had to pick it up.  All said, it does look great, but there are a number of issues I have with the model.

Firstly, building the V-19 wasn't too difficult for the most part. A lot of major pieces came together rather easily, with the notable exception of the side folding wings.  The gear mechanisms were very tempermental during their construction and I had to take them both apart several times and rebuild the engine assemblies to get them to join up just right.  Unfortunately, even with the gear assemblies rebuilt and realigned, the wings don't make a good transition from the upright position to flight positions.

Secondly, I really think a display base of some sort should have been included with the kit.  There's no easy way of displaying the model in flight mode as the bottom wing gets in the way.  LEGO was able to solve the problem with their B-Wing model but no such luck for the V-19.

When all is said and down, the V-19 does look pretty cool and has a distinct &quot;wow factor&quot; with the moving wings, but it's overall design is flawed and too flimsy for my liking.",FALSE,3,0,0,0,0
"hustla187","2008-09-06T20:06:24.937Z","Nice V-19","I really think the Clone Wars set are much better than the movie itself. This set is the V-19 Torrent seen in the movie in a really animated way. The Lego version is way better than the movie and there is no excuse for that.",FALSE,5,0,0,0,0
"kiwikat","2008-09-12T21:46:47.997Z","Very Cool!","This is my first review on the site.  I'll start out with saying I'm a collector and don't really &quot;play&quot; with the various creations I have.

The last thing I built was the AT-TE which set the bar pretty high for me.  The V-19 easily meets that bar if not raises it slightly.  It is quite a bit bigger than I expected it to be and twice as long to build as I thought it would take.  Just thinking about the piece count I thought an hour to an hour 15 minutes would be adequate.  Due to the complexity and technic pieces, it took just over 2 hours for me to casually build it. (I never rush my builds)  When finished, it looks and feels very solid.

Pros:
-(relatively)difficult build due to technic pieces
-relatively long build time for piece count
-looks accurate
-very solid structure, doesn't feel like it will break at all
-clone comes with a rifle
-great folding wings/gear design

Cons:
-another figure would have been nice
-LEGO, please PLEASE get rid of these stickers...
-there's a small hole in the cockpit behind where the clone's head is

Neutrals:
-I'm not too fond of flick missiles
-a bit pricey for the piece count but you do get what you paid for
-I find the bottom of the ship to look kind of silly but it is probably just me

In summary, the V-19 is a fairly good addition to your collection if you are solely a collector.  Those who like to play with their models will like it even more.  If you are comfortable with dealing with all of the technic pieces and are a fan of Star Wars ships, this is for you.",FALSE,4,0,0,0,0
"ponkusjr","2009-01-13T23:54:47.107Z","Had fun with this one. great set","like this set a lot. great value for money at Argos £14.99 (sale) in october last year. Wish i had purchased another .
Well thought out set and robust. Love the way the wings open and close. very smooth. Dont like the way the nose sits low down when standing and also think the cockpit area could have been a little better, it will get very cold in there!
six spare or leftover elements and four missiles
like the way the cockpit slides open, nice.
lik the way the undercarrage comes down at the same time as the wings
I give this set a four out of five
great set",FALSE,4,0,0,0,0
"MandalorianCandidate","2008-11-18T12:29:06.763Z","Nice engineering but needs some work","Like the 7673 Magnaguard Starfighter, the 7674 V-19 Torrent was an ambitious undertaking by the Lego designers.  Perhaps it's just intrinsic with the original Lucasfilm design, but the V-19 seems to have the greater potential of the two to having a more desirable Lego version.  I remember watching the original CW toons and thinking, &quot;Daaaaaaang, I gots to get me one of those!&quot;  So when I found out that we'd be getting one with the CW line I was excited.  My excitement was tempered by discovering the cost of the ship ($55--strike one) and that it had only one minifig (clone pilot--strike two).  I am sooo close to giving it strike three due to what I perceive to be a crucial design flaw but I'm trying to be objective as possible, so here goes.

This is again another 'flying cockpit,' just like the Sith Infiltrator and the Magnaguard (MG) ship.  However it is not quite the same since the wings are not as complex as with the aforementioned other two sets, hence the second wing's build is not that tedious (and the third wing is different altogether).  What sets this ship apart is the very complex wing mechanism, which makes the cockpit/fuselage larger and more intricate than other fighters. The centerpieces here are the two pistons that control movement of the landing gear to move back and up toward the fuselage when the center wing is pushed down.  The center wing is also connected to the side wings by a series of two gears on each side that hook into the engine nacelles via two sets of ball-type cogs (possibly from bionicle?), turning the nacelles and the wings downward with very little effort.  I must say this is the most elegant engineering I've seen in a Lego set to date.

That being said...I hate it.  For the life of me I can't get the wings to stay in the upright landing position when the ship is picked up unless I hold the wings.  I've fiddled endlessly with the mechanism and just can't get it to stay still.  Also, when the wings are in flight mode, the center wing won't stay fully level and dips down just slightly.  I'm hoping that I'm just blind and/or mechanically inept and am missing some crucial step but I think not.  Combing the forums of sites like fbtb.net seems to produce page after page of similar issues.  I also give a thumbs down to Lego for picturing the ship in their adds as being level when it in fact is angled downward.  My thinking is to help keep the wings from falling over while sitting on a flat surface, but again maybe I just put together the landing gear screwy.

Moving on, there are other pluses.  The sliding cockpit is great, but not as good as the MG ship.  It has a slight tendency to lift up at the sliding handle, but the hinge to lift the screen up once fully pulled out is kinda cool.  It comes with four flick missiles although there are two missiles ports.  The mechanism here is a little better than normal because instead of flicking the missile, you hit a rod that slams into the missile, shooting it out.  The detail on the ship is also pretty intricate as with the wing guns, engine nacelles, and landing gear.  We also get the new CW clone pilot, which is essentially a clone with a different helmet design.  I suppose it's also nice that there are only three stickers (two republic symbols for the wings and a design on the cockpit nose), yet why couldn't these have been tampographed like the image on the cockpit instrument panel tile?

Besides the faulty/loose wing design I don't like just getting one minifig.  For the price there should have been at least one more.  We got two MG's with the 7673, why not a pilot and an R2 or a second clone or a generic Jedi with this one.  I'm fortunate in that I found one on ebay for about $20 (new, but removed from the box) that had the pilot and his gun removed.  Next year with the clone trooper army pack I'll be able to replace the pilot and add three of his buddies for $10.  The cockpit also suffers from ARC-170itis (big ole hole in the back).

My solution would have been to make a smaller ship with the more conventional click hinges, like the original X-Wing.  I wonder if the rubber banded approach that was in the newer X-Wing or even the Imperial Landing Craft turnknob mechanism would have worked here.  The price could have thus been lower by not needing to make new parts, like the pistons, or having the large wings.

The design here is very faithful to cartoon and it does look aesthetically pleasing, except for all the technic guts hanging out. I think the dark red pieces and wing elements may be good for customs, but you'll have to be pretty creative about using the technic pieces in mods...but hey, that's what Lego is all about!

Borrowing the rating method from fbtb.net...

price/parts ratio - 6/10
parts selection - 7/10
minifigs - 4/10
construction - 5/10
design/sturdiness - 4/10
comparison to film/TV - 9/10
swoosh factor - 5/10
reviewer's tilt - 5/10
FINAL SCORE - 5.6/10 ==&gt; 3 of 5",FALSE,3,0,0,0,0
"Loganwan","2008-12-18T15:17:09.687Z","V-ery nice set","I am very impressed with the design of the Torrent.  It is a very strong ship with a spectacular array of gears and such for the wings to all fold together.  The weight of the large center wing is enough that when it is released, it will slowly fall and allow the other two wings to drop as well.

I am surprised to hear others say that the wings don't work.  When all of the gears are in place, it is solid.

I am amazed by the size of the ship.  In the show it is usually near the larger command ships, so it is hard to get a sense of the size, but it is very good compared to the drop-ship.

The color scheme is right on for the rest of the line.  And with only 3 stickers to boot.

I agree with other posts that do not like the fact that the cockpit is open in the back, but it is covered enough that it is not noticeable unless you are looking for it.

I recommend this set to any of the Clone Wars fans, and think it is a fun build with a few tricks that will keep the advanced builders interested.",FALSE,5,0,0,0,0
"Fenalt","2008-12-18T17:34:44.437Z","&quot;Set s-foils in attack postion&quot;- Commander Oddball","First of all this ship is big! It has a nice mechinasim to open the wings and has a new clone pilot. The other thing that is great is it has the best way to fire missles.Overall I would highly recommend it 


          ",FALSE,5,0,0,0,0
