"author","datePosted","title","review","HTML","overall","parts","buildingExperience","playability","valueForMoney"
"TheBigGuy","2007-02-03T16:46:44.893Z","Another great remake.","When it comes to songs I am not a great fan of remakes.  The original is always the best version. Same with Lego, until I built this little beauty.  Compared with this the original (which I have always liked) is bit cheap and too small.  The detail is much better in this one and the cockpit is straight from the movie.  Could have been better with a two-man cockpit and another pilot, but that doesn't detract from a superb set.  Easy to build and fun too.  I'll give this set a classy 9.5 (with half a point off for having only one minifigure)",FALSE,5,0,0,0,0
"Bran_don_jin","2007-02-13T12:15:21.497Z","O.K...","This set is OK but many things could have been done better. Of course this set is better than the first, it is bigger, more detailed, and it comes with an imperial piolet.But... still no minifigures(such as stormtroopers or ewoks),there is no sheild bunker(not even a badly made one)and UNlike the first model it can't walk. It just has to sit there! There is some ways you can change this though. So overall, good set, it gets an 8 but -2 because LEGO failed to resolve some of the problems that the earlier one had.",FALSE,4,0,0,0,0
"A_Brickset_user","2007-05-26T07:00:34.79Z","generally good, needs more detail","i've got this set and it is generally good but in my opinion it could definately use a bit more detail, plus on this picture it shows th wrong character, the clothes are correct but the face is different. i do enjoy the detail inside the head and how the top of th head opens and closes and the head spins around. So generally a great set.",FALSE,4,0,0,0,0
"Jedd_the_Jedi","2007-06-04T01:58:57.793Z","A hundredfold improvement - but not exactly perfect","As compared to the very dismal version from 2000, this redesign is a spectacular improvement, into which large amounts of effort have been put in. The set is much better scale-wise, and includes distinct features left out by the previous incarnation. No detail is spared with this model, and it looks excellent on display. A neat play feature of the rotating head caps it off nicely.

However, the set certainly has it faults. The legs are completely immobile and the &quot;walker&quot; is completely incapable of &quot;walking&quot; of any sort. The legs also lack the spindly feel which it is meant to posses, and feel far too blocky. Some portions, particularly the side-mounted guns, are prone to falling off often. The interior is poorly designed, with room for just one. This problem is also hard to solve even with modifications. The walker also fails to look menacing enough. 

Thankfully, though, the lone minifigure is gloriously designed, and the set is a lot more movie-accurate than its predecessor on the whole. Get it on sale if possible, just like I did.

",FALSE,4,0,0,0,0
"david001","2007-03-23T14:20:29.107Z","'Baby' walker grown up","The only model that I have bought the newer version of so far, this set is a marked improvement on the old AT-ST (set number 7127).

While physicallt not that much larger than the older version, the model scales better with the minifig provided due, in no small part, to the larger more detailed head design.  While the legs no longer 'walk', the model balances better: the old version always seemed to be leaning back slightly.  And, to top it all of, this version actually comes with an Imperial pilot rather than with Chewie!",FALSE,4,0,0,0,0
"Paul007","2007-04-09T07:20:35.053Z","Best medium set","In my opinion, this is the best medium sized set lego has ever made.  The only bad thing about it is that in star wars, the AT-ST had two drivers seated next to each other, not just one.  The cabin has room for two men, but seated behind each other.  Many people complain about the legs, but they move very realisticly.  It was nicknamed 'Chicken Walker' by the rebels because of the odd way the legs moved.  At all times, the nose turret was the formost part in the AT-ST, and the legs NEVER went forward.  This is a very realistic model and is a great bargain for the price.  10/10.",FALSE,5,0,0,0,0
"A_Brickset_user","2007-06-05T12:35:28.45Z","Best AT-ST so far.","For minifig scale, this is by far the best.

Pro: 
-Scaling is perfect
-Minifig is very cool
-Nice design
-Cockpit is spacey.
-Guns rotate as well as the 'head'.

Cons: 
-Legs fall apart when 'walking' it around.
-Top heavy, making it able to tip over easily in certain poses.


Nice set overall, I has fun with it. 

",FALSE,5,0,0,0,0
"TinyHippo","2007-10-01T07:56:11.14Z","Not Bad","For a walker that doesn't walk, the AT-ST isn't too horrible. It's built to a decent scale - but should've come with two pilots. I think my recent Exo-Force purchases have made the weapons seem quite small and puny, but they are true to the OT.

I'm breaking it down for spare parts, soon, of which there are many nice, space-y functional pieces. No bionicle or other pre-fab pieces here, as opposed to new Exo-Force walkers.",FALSE,4,0,0,0,0
"_add_um","2007-09-12T09:31:45.717Z","better than the first !!","AT-ST is one of the best remake this year (along with 7662). Even though its bigger from the last one it still has 1 driver.

Pros:
* All new minifig!
* Much bigger from the last 1
* better design

Cons:
* Legs sometimes fall off
* Could have added another minifig (stromtroopers or ewoks)

Great remake and goes well with 7666,4483 and 7139.",FALSE,4,0,0,0,0
"Ovid07","2007-09-04T15:49:38.41Z","Huh.","Thanks to whoever rated my review of set #4950 The Loader-Dozer.  Like I said in that review I'm putting more work into my reviews now, so if you find one of use use the &quot;Did you find this review useful?&quot; rating system.  - Ovid07(David)

INTRO
When I found out about Lego re-doing the AT-ST, I was really happy.  All true Star Wars nerds know that the joke of an AT-ST Lego released back in 2000 or so, was horrible.  And that's why we hate it.  Even today  when I hear a shuffling sound approaching me and a weird gray blocky blob off on the horizon I  scream and run for cover.  So did Lego do it right this time?  Read on and find out.

LOOKS
On the outside this is a beautiful set.  Matter of fact when I first saw it on Lego.com, I really thought Lego had done it.  RE-BUILT! THE! HORRIBLE! GOOD-FOR-NOTHIN'! AT-ST!  However, after my first encounter with it (at a friend's house) I had a mixed bag of feelings.  It looked good on the outside but the &quot;command cabin&quot; was just a chair and a clip to put the pilot's gun.  I mean first off a real AT-ST has two pilots, and second where are the controls?  Is this a special telekinesis powered AT-ST?  4/10 for a beautifully crafted outside, with a lousy interior.

SIZE IN REALTIONS WITH COPPERATE MARKETING
The Outside: is in good scale with an AT-ST
The Inside: could use another pilot (like I mentioned earlier).  6/10.

FEATURES
The AT-ST has a great head swivial feature, using technic gears!  8/10.

MINIFIGS
The AT-ST pilot is great.  I know Lego can do things like this right off the bat (they don't have to use stupid decals or paint), but ya still gotta appreciate him.  The legs and body are an easy build, but the helmet's a new SW piece and it didn't end up like Watto*'s body.  I know there should be two AT-ST pilots, but there aren't two seats ether.  7/10.

OVERALL
If you average out all the ratings you get 6.25 (told you I was a nerd, or maybe I didn't, did I?). However, that doesn't really tell the full story.  After multiple viewings of this set I have not yet been convinced to buy it, nor probally will in the future.  So if I don't even own this set why did I review it?  Did I want just to write a long rant?  Or just want to review a popular set?  I wanted to help you make your decision.


*Foot Note: Watto:  A minor character in Star Wars Episode 1 the Phantomenace (for more info go to http://en.wikipedia.org/wiki/Watto).  Also in Lego set #7186: Watto's Junkyard (for more info on that set go to http://www.brickset.com/detial.aspx?Set=7186-1).",FALSE,3,0,0,0,0
